id;head_ru_de;transliteration_de;literal_de;meaning_de;equivalents_de;transparency_de;head_ru_eng;transliteration_eng;literal_eng;meaning_eng;equivalents_eng;transparency_eng
313;НИ ДВА НИ ПОЛТОРА;ni dwa ni poltora;Weder zwei noch anderthalb. ;Weder gut noch schlecht, unbekannt wie (etw. ist).;nichts Halbes und nichts Ganzes;0.5;НИ ДВА НИ ПОЛТОРА;ni dva ni poltora;Neither two nor one and a half.;"Defies classification; neither good rior bad neither one thing nor the other.";;0.0
314;НИ ЖИВ НИ МЁРТВ;ni shiw ni mjortw;Weder lebendig noch tot.;Sehr deprimiert, sehr erschrocken.;mehr tot als lebendig;0.5;НИ ЖИВ НИ МЁРТВ;ni zhiv ni m’ortv;Neither alive nor dead;"Despondent; petrified with fear or astonishment.";More dead than alive.;0.5
315;НИ ЗА КАКИЕ КОВРИЖКИ;ni sa kakije kowrishki;Nicht für irgendwelche Pfefferkuchen.;Auf gar keinen Fall.;um nichts auf der Welt;0.0;НИ ЗА КАКИЕ КОВРИЖКИ;ni za kakiye kovrizhki;Not for any gingerbread.;"Not for anything; not on any account.";"Not for the world; not on your life";0.0
316;НИ КОЛА НИ ДВОРА;ni kola ni dwora;Weder einen Pflock noch einen Hof (haben).;Sehr arm sein.;weder Haus noch Hof;0.5;НИ КОЛА НИ ДВОРА;ni kola ni dvora;Neither a picket nor a yard.;"To be very poor; not to have a roof over one’s head.";"To have neither house nor home. Beside the point, out of place; for no apparent reason; quite irrelevantly.";0.5
317;НИ К СЕЛУ НИ К ГОРОДУ;ni k ßelu ni k gorodu;Weder zum Dorf noch zur Stadt.;Völlig unpassend, deplaziert.;;0.0;НИ К СЕЛУ НИ К ГОРОДУ;ni k s’elu ni k gorodu;Neither to the village nor to the town.;"Beside the point, out of place; for no apparent reason; quite irrelevantly";Neither here nor there;0.0
318;НИ НА ЧТО HE ПОХОЖЕ;ni na tschto ne pochoshe;Das hat mit nichts Ähnlichkeit.;Das gehört sich nicht, das ist unerhört.;;0.0;НИ НА ЧТО HE ПОХОЖЕ;ni na shto n’e pokhozhe;It doesn’t look like anything.;"Very bad; unthinkable; unheard of; like nothing on earth; that won’t do; that’s no good at all.";;0.0
319;НИ ПУХА НИ ПЕРА!;ni pucha ni pera!;Weder Flaum noch Feder!;Ich wünsche Erfolg!;Hals- und Beinbruch!;0.0;НИ ПУХА НИ ПЕРА!;ni pukha ni p’era;Neither down nor feather.;Good luck!;;0.0
320;НИ РЫБА НИ МЯСО;ni ryba ni mjaßo;Weder Fisch noch Fleisch.;Nichts Bestimmtes (meist von einer Person);weder Fisch noch Fleisch;1.0;НИ РЫБА НИ МЯСО;ni ryba ni m’aso;Neither fish nor meat.;A mediocre person.;Neither fish, flesh nor fowl.;0.5
321;НОЖ ОСТРЫЙ;nosh oßtryj;Ein scharfes Messer. ;Es ist für j-n sehr unangenehm, unerwünscht.;;0.0;НОЖ ОСТРЫЙ;nozh ostry;A sharp knife.;"Something extremely unpleasant or painful; something is the source of annoyance, grief, etc.";"Gall and wormwood; this is sheer agony/hell.";0.0
322;НОМЕР HE ПРОЙДЁТ;nomer ne projdjot;Die Nummer wird nicht durchgehen.;Das wird nicht gelingen.;;0.0;НОМЕР HE ПРОЙДЁТ;nom’er n’e proyd’ot;The number won’t pass through.;"That won’t do; you can’t get away with it.";"Nothing doing; that trick won’t work; that won’t wash.";0.0
323;НОСА НЕ ВЫСУНУТЬ;noßa ne wyßunutj;Seine Nase nicht hinausstecken.;Nicht hinausgehen, sich nicht zeigen.;;0.0;НОСА НЕ ВЫСУНУТЬ;nosa n’e vysunut’;Not to peep out one’s nose.;One can’t go outside.;One can’t even stick his nose out of the house;0.5
324;НОСИТЬ ВОДУ РЕШЕТОМ;noßitj wodu reschetom;Wasser mit dem Sieb tragen.;Etw. umsonst tun, sich erfolglos abmühen.;mit einem Sieb Wasser schöpfen;0.5;НОСИТЬ ВОДУ РЕШЕТОМ;nosit’ vodu r’eshetom;To carry water in a sieve.;"To do something useless; to waste time.";To plough the sand;0.0
325;НУЖЕН КАК ПРОШЛОГОДНИЙ СНЕГ;nushen kak proschlogodnij ßneg;Nötig wie der vorjährige Schnee.;Völlig unnötig, überflüssig.;;0.0;НУЖЕН КАК ПРОШЛОГОДНИЙ СНЕГ;nuzhen kak proschlogodny sn’eg;As needed as last year’s snow;Here is no need to.;;0.0
326;ОБВЕСТИ ВОКРУГ ПАЛЬЦА;obweßti wokrug paljza;Um den Finger herumführen.;J-n täuschen, überlisten. |;j-n hinters Licht führen;0.0;ОБВЕСТИ ВОКРУГ ПАЛЬЦА;obv’esti vokrug pal’tsa;To lead someone round a finger.;"Without any difficulty to make a person do exactly what one wishes; to be able to handle or manage someone with ease; to cajole, persuade some artfully";To twist/turn someone round one’s little finger.;0.5
327;ОБЕЩАТЬ ЗОЛОТЫЕ ГОРЫ;obestschatj solotyje gory;Goldene Berge versprechen.; J-m große Versprechungen machen. ;j-m goldene Berge versprechen;1.0;ОБЕЩАТЬ ЗОЛОТЫЕ ГОРЫ;ob’eshchat’ zolotyye gory;To promise mountains of gold;"To promise someone a fortune; to make extravagant promises.";To promise the moon;0.0
328;ОБИВАТЬ ПОРОГИ;obiwatj porogi;Die Türschwellen abnutzen.;Von Behörde zu Behörde laufen, um irgendeine Angelegenheit durchzusetzen.;;0.0;ОБИВАТЬ ПОРОГИ;obivat’ porogi;To knock against the thresholds.;"To go frequently somewhere trying to obtain something; to apply or petition with dogged persistence.";"To haunt someone’s threshold; to camp on someone’s doorstep";0.0
329;ОБРАТИТЬСЯ HE ПО АДРЕСУ;obratitza ne po adreßu;Sich nicht an die richtige Adresse wenden.;Sich an den falschen Adressaten wenden.;sich an die falsche Adresse wenden;0.5;ОБРАТИТЬСЯ HE ПО АДРЕСУ;obratittsa n’e po adr’esu;To apply to the wrong address.;To come to the wrong person or place to get what one requires.;To come to the wrong shop;0.0
330;ОДИН КАК ПЕРСТ;odin kak perßt;Allein wie der Finger.;Mutterseelenallein, ohne Angehörige.;;0.0;ОДИН КАК ПЕРСТ;odin kak p’erst;Alone as a finger.;"All alone in the world; all by oneself; without kinfolk.";;0.0
331;ОДНА НОГА ЗДЕСЬ, ДРУГАЯ ТАМ;odna noga sdeßj, drugaja tam;Ein Bein hier, das andere dort.;Blitzschnell irgendwohin laufen und etw. holen.;;0.0;ОДНА НОГА ЗДЕСЬ, ДРУГАЯ ТАМ;odna noga zd’es’ drugaya tarn;One foot’s here, the other’s there.;"To go and fetch, to run and fetch; to do something very quickly, with lightning speed.";;0.0
332;ОДНОГО ПОЛЯ ЯГОДА;odnowo polja jagoda;Beeren von demselben Feld.;"Von einem Schlag; dasselbe Kaliber.";;0.0;ОДНОГО ПОЛЯ ЯГОДА;odnovo pol’a yagoda;A berry from the same field.;"They look alike; they are similar in disposition, tastes, etc.; they are well matched; they deserve each other; one is no better than the other.";"Not a pin to choose between them; cut from the same cloth; birds of one feather";0.0
333;ОКАЗАТЬСЯ МЕЖДУ ДВУХ ОГНЕЙ;okasatza meshdu dwuch ognej;Sich zwischen zwei Feuern befinden.;Sich in einer Lage befinden, in der Gefahr von beiden Seiten droht.;zwischen zwei Feuer geraten;0.5;ОКАЗАТЬСЯ МЕЖДУ ДВУХ ОГНЕЙ;okazattsa m’ezhdu dvukh ogn’ey;To find oneself between two fires.;"To be or find oneself between two equally serious evils or dangers, between equally unpleasant alternatives, in a perplexing situation; to be attacked from two directions; to be criticized from both sides.";"Between the devil and the deep blue sea; between two fires";1.0
334;ОКАЗАТЬСЯ МЕЖДУ НЕБОМ И ЗЕМЛЁЙ;okasatza meshdu nebom i semljoj;Sich zwischen Himmel und Erde befinden.;Kein Dach über dem Kopf haben.;;0.0;ОКАЗАТЬСЯ МЕЖДУ НЕБОМ И ЗЕМЛЁЙ;okazattsa m’ezhdu n’ebom i z’eml’oy;To find oneself between the sky and the earth.;;;0.0
335;ОКАТИТЬ ХОЛОДНОЙ ВОДОЙ;okatitj cholodnoj wodoj;Mit kaltem Wasser übergießen.;"J-s Eifer, j-s Leidenschaft abkühlen; j-n in Verwirrung stürzen. ";j-m eine kalte Dusche geben;0.5;ОКАТИТЬ ХОЛОДНОЙ ВОДОЙ;okatit’ kholodnoy vodoy;To pour cold water over someone.;"To disparage someone, to discourage someone’s enthusiasm; to damp someone’s ardour; to throw someone into confusion.";To throw/ pour cold water on/over someone.;1.0
336;ОКУНУТЬСЯ С ГОЛОВОЙ;okunutza ß golowoj;Mit dem Kopf untertauchen.;"Sich einer Sache völlig widmen; in etw. völlig aufgehen.";sich in eine Sache stürzen;0.0;ОКУНУТЬСЯ С ГОЛОВОЙ;konuttsa z golovoy;To plunge headlong;"To become utterly absorbed/engrossed in something; to be deeply immersed, irrevocably involved.";"To be up to one’s ears in something; to throw oneself in something";0.0
337;ОПУСТИТЬ РУКИ;opußtitj ruki;Die Hände sinken lassen.;"Jedes Interesse an etw, verlieren; aus Verzweiflung untätig werden.";die Hände sinken lassen;1.0;ОПУСТИТЬ РУКИ;opustft’ rtiki;To lower one’s hands;"To lose interest; to become disappointed, depressed; to be disheartened";To lose heart;0.0
338;ОСТАВИТЬ С НОСОМ;oßtawitj ß noßom;J-n mit einer Nase zurücklassen.;J-n in seinen Erwartungen enttäuschen.;j-m eine Nase drehen;0.0;ОСТАВИТЬ С НОСОМ;ostavit’s nosom;To leave someone with his nose.;"To leave someone without something he had hoped for; to make a fool of someone; to trick someone.";To leave someone holding the bag;0.0
339;ОСТАТЬСЯ НА БОБАХ;oßtatza na bobach;Auf den Bohnen (sitzen) bleiben.;"Das Nachsehen haben; leer ausgehen.";;0.0;ОСТАТЬСЯ НА БОБАХ;ostattsa na bobakh;To be left on the beans;"To be left without something one has hoped for; to be out in one’s reckoning; to get nothing for one’s pains; to be left with nothing.";To be left holding the bag;0.0
340;ОСТАТЬСЯ У РАЗБИТОГО КОРЫТА;oßtatza u rasbitowo koryta;Am zerschlagenen Trog zurückbleiben.;"Alles verloren haben; wieder von vorn anfangen müssen; enttäuscht wieder am Anfang stehen.";;0.0;ОСТАТЬСЯ У РАЗБИТОГО КОРЫТА;ostattsa u razbitovo koryta;To be left at the broken wash-tub.;"To be left with nothing, having lost everything one had; to be no better off than when one started.";To be back at the bottom of the ladder;0.0
341;ОТКЛАДЫВАТЬ НА ЧЁРНЫЙ ДЕНЬ;otkladywatj na tschornyj denj;Für den schwarzen Tag zurücklegen.;"Für den Notfall zurücklegen; einen Notgroschen zurücklegen.";auf die hohe Kante legen;0.0;ОТКЛАДЫВАТЬ НА ЧЁРНЫЙ ДЕНЬ;otkladyvat’ na chorny d’en’;To put aside for a black day;To save or reserve something (usually one’s income) for time of trouble, for bad times.;To save/put by for a rainy day;0.0
342;ОТКРЫВАТЬ АМЕРИКУ;otkrywatj ameriku;Amerika entdecken.;Etw. längst Bekanntes sagen.;;0.0;ОТКРЫВАТЬ АМЕРИКУ;otkryvat’ am’eriku;To discover America.;"To say something that everyone has long been aware of; to say or explain something that is already well known to everyone; to retail stale news.";"The Dutch have taken Holland; Queen Ann is dead";0.0
343;ОТКРЫВАТЬ кому-либо ГЛАЗА на кого-либо/что-либо;otkrywatj (komu-libo) glasa (na kowo-libo / tschto-libo);J-m die Augen für j-n oder etw. öffnen.;"J-m helfen, die Lage richtig einzuschätzen; j-n aufklären.";j-m die Augen öffnen;1.0;ОТКРЫВАТЬ кому-либо ГЛАЗА на кого-либо/что-либо;otkryvat’ glaza;To open someone’s eyes to someone or something;To enable one to understand, to cause one be aware of or to realise a fact, truth, reality to which one had been blind.;To open someone’s eyes to something or someone;1.0
344;ОТКРЫВАТЬ кому-либо ДУШУ/СЕРДЦЕ;otkrywatj (komu-libo) duschu / ßerze;J-m gegenüber seine Seele / sein Herz öffnen.;"Über seine geheimsten Gedanken und Gefühle offen reden; sich j-m anvertrauen.";j-m sein Herz ausschütteln;0.5;ОТКРЫВАТЬ кому-либо ДУШУ/СЕРДЦЕ;otkryvat’ dushu/s’ertse;To open one’s soul / heart to someone.;To tell someone frankly of one’s innermost thoughts or feelings.;To lay bare one’s heart;0.0
345;ОТКРЫВАТЬ СВОИ КАРТЫ;otkrywatj ßwoi karty;Seine Karten aufdecken.;Seine Gedanken, seine Pläne offen darlegen.;seine Karten offen auf den Tisch legen;0.5;ОТКРЫВАТЬ СВОИ КАРТЫ;otkryvat’ svoyi karty;To show one’s cards;"To stop making secrets of one’s plans or intentions; to reveal candidly all one’s aims";"To lay / put one’s cards on the table; to show one’s hand";0.0
346;ОТКУДА СЫР-БОР ЗАГОРЕЛСЯ;otkuda syr-bor sagorelßja;Deshalb fing der feuchte Wald an zu brennen.;"Daraus ist der ganze Streit entstanden; so ist es dazu gekommen.";;0.0;ОТКУДА СЫР-БОР ЗАГОРЕЛСЯ;otkuda syr-bor zagor’els’a;Cf. To lay /put one’s;"cards on the table; to show one’s hand.";That's how it all started.;0.0
347;ПАЛЕЦ О ПАЛЕЦ НЕ УДАРИТЬ;palez o palez ne udaritj;Einen Finger nicht an den anderen Finger stoßen.; Nichts tun (für die Erreichung eines Zieles).;keinen Finger rühren;0.0;ПАЛЕЦ О ПАЛЕЦ НЕ УДАРИТЬ;pal’ets o pal’ets n’e udarit’;Not to strike one finger against another.;"To be idle; not to stir oneself; not to make the slightest effort to attain one’s goal.";Not to raise/lift a finger. Not to hurt a fly.;0.0
348;ПАЛКА О ДВУХ КОНЦАХ;palka o dwuch konzach;Ein Stock hat zwei Enden.;Von etw., das gut oder schlecht ausgehen kann.;ein zweischneidiges Schwert;0.0;ПАЛКА О ДВУХ КОНЦАХ;palka o dvukh kontsakh;A staff with two ends.;"Something that can have pleasant and unpleasant consequences; something that can bring good as well as harm.";"A double-edged/two-edged weapon; it cuts both ways.";0.0
349;ПАЛЬЦА В РОТ НЕ КЛАДИ кому-либо;paljza w rot ne kladi (komu-libo);Leg den Finger nicht in j-s Mund.;Nimm dich vor j-m in acht.;;0.0;ПАЛЬЦА В РОТ НЕ КЛАДИ;pal’tsa v rot n’e kladi;Don’t put your finger in his/ her mouth.;"Someone is not to be trifled with; with this man one must be scrupulously exact; one must be on one’s guard with him because he is likely to take advantage of another’s false step.";;0.0
350;ПАЛЬЦЕМ кого-либо HE ТРОНУТЬ;paljzem (kowo-libo) ne tronutj;Keinen mit dem Finger berühren. ;J-m nichts zuleide tun.;j-m kein Haar krümmen;0.0;ПАЛЬЦЕМ никого HE ТРОНУТЬ;pal’tsem n’e tronut’;Not to touch anyone with one’s finger;"Not to do anyone any harm; not to hit someone.";Not to hurt a fly.;0.0
351;ПАЛЬЧИКИ ОБЛИЖЕШЬ;paltschiki oblishesch;Die Fingerchen wirst du dir ablecken.;Von etw. sehr Schmackhaftem.;danach möchte man sich die Finger ablecken;1.0;ПАЛЬЧИКИ ОБЛИЖЕШЬ;pal’chiki oblizhesh;You’ll lick your fingers clean.;You’ll lick your fingers clean;Finger-licking good;0.5
352;ПЕРВАЯ ЛАСТОЧКА;perwaja laßtotschka;Die erste Schwalbe.;Die ersten Anzeichen von etw., ein Vorbote.;;0.0;ПЕРВАЯ ЛАСТОЧКА;p’ervaya lastochka;The first swallow.;The first portent of something.;;0.0
353;ПЕРЕГИБАТЬ ПАЛКУ;peregibatj palku;Den Stock zu sehr biegen.;"Etw. übertreiben; überrtrieben hohe Forderungen stellen.";den Bogen überspannen;0.0;ПЕРЕГИБАТЬ ПАЛКУ;p’er’egibat’ palku;To bend the stick.;"To go beyond the appointed or accepted limit; to go to the extreme; to go too far; to overdo something.";To overshoot the mark.;0.0
354;ПЕРЕЛИВАТЬ ИЗ ПУСТОГО В ПОРОЖНЕЕ;pereliwatj is pußtowo w poroshneje;Aus einem leeren Gefäß in ein anderes gießen.;"Etw. Nutzloses tun, die Zeit nutzlos vergeuden; mit leerem Geschwätz die Zeit verbringen.";leeres Stroh dreschen;0.0;ПЕРЕЛИВАТЬ ИЗ ПУСТОГО В ПОРОЖНЕЕ;p’erelivat’ is pustovo v porozhn’eye;To pour something from one empty vessel into another.;"To waste time on something useless; to waste time in useless debate; to engage in idle chatter.";"To mill the wind; to beat the air.";0.0
355;ПЕРЕЛОМИТЬ СЕБЯ;perelomitj ßebja;Sich entzweibrechen.;"Sich zwingen, anders zu werden; seinen Charakter, seine Gewohnheiten ändern.";;0.0;ПЕРЕЛОМИТЬ СЕБЯ;p’er’elomit’ seb’a;To break oneself in two;"To master oneself; to conquer one’s temper; to change one’s behaviour, character, habits; to restrain or suppress one’s feelings; to overcome oneself or something in oneself.";;0.0
356;ПЕРЕМЫВАТЬ КОСТОЧКИ;peremywatj koßtotschki;J-s Knochen waschen.;"J-n durchhecheln; über j-n klatschen.";;0.0;ПЕРЕМЫВАТЬ КОСТОЧКИ;p’er’emyvat’ kostochki;To wash someone’s bones.;"To gossip, to say spiteful things about someone; to find detailed faults in a person.";To pick/pull someone to pieces;0.0
357;ПЕРЕПОЛНИТЬ ЧАШУ ТЕРПЕНИЯ;perepolnitj tschaschu terpenija;Den Becher der Geduld zu voll füllen.;Die Geduld überstrapazieren.;das Maß voll machen;0.0;ПЕРЕПОЛНИТЬ ЧАШУ ТЕРПЕНИЯ;p’er’epolnit’ chashu t’erp’eniya;To overfill the cup of patience;"To bring someone to the end of his endurance or patience; to exasperate someone; to be at the end of one’s tether";"The last straw; to break the camel’s back";0.0
358;ПЕСЕНКА СПЕТА;peßenka ßpeta;Das Liedchen ist gesungen. ;Das Ende von etw. ist gekommen (von j-s Leben, von der Arbeit u. a.).;mit j-m ist es aus;0.0;ПЕСЕНКА СПЕТА;p’es’enka sp’eta;One’s song has been sung.;"One is near his end; one is ruined; it’s all done with him; he’s done for.";Someone’s goose is cooked;0.0
359;ПИСАТЬ КАК КУРИЦА ЛАПОЙ;pißatj kak kuriza lapoj;Wie das Huhn mit der Pfote schreiben.;Unleserlich schreiben, schmieren.;;0.0;ПИСАТЬ КАК КУРИЦА ЛАПОЙ;pisat’ kak kuritsa lapoy;To write like a chicken with its claw;To write quite indecipherably;One’s handwriting is like chicken tracks;0.5
360;ПЛАВАТЬ КАК ТОПОР;plawatj kak topor;Wie eine Axt schwimmen.;"Sehr schlecht schwimmen; nicht schwimmen können. ";schwimmen wie eine bleierne Ente;0.5;ПЛАВАТЬ КАК ТОПОР;plavat’ kak topor;To swim like an axe.;To be a poor swimmer or not to be able to swim at all.;To swim like a stone/like a tailor’s goose;0.0
361;ПЛАКАТЬСЯ В ЖИЛЕТКУ;plakatza w shiletku;J-m in die Weste weinen.;J-m seinen Kummer klagen, um Mitleid zu erregen.;sich an j-s Schulter ausweinen;0.5;ПЛАКАТЬСЯ В ЖИЛЕТКУ;plakattsa v zhil’etku;To weep into someone’s waistcoast;To bewail one’s fate seeking sympathy or consolation.;To cry on someone’s shoulder;0.0
362;ПЛАТИТЬ ТОЙ ЖЕ МОНЕТОЙ;platitj toj she monetoj;Mit gleicher Münze zahlen.;Etw. gebührend beantworten.;"mit gleicher Münze heimzahlen; Gleiches mit Gleichem vergelten";0.5;ПЛАТИТЬ ТОЙ ЖЕ МОНЕТОЙ;platit’ toy zhe mon’etoy;To pay someone back in the same coin.;"To act by using on an opponent the same methods he employed against one; to return like for like; to retaliate.";"To pay one back in his own coin; to pay/answer back in kind";1.0
363;ПЛЕВАТЬ В ПОТОЛОК;plewatj w potolok;An die Decke spucken.;"Faulenzen; nichts tun.";Däumchen drehen;0.0;ПЛЕВАТЬ В ПОТОЛОК;pl’evat’ v potolok;To spit at the ceiling;"To do nothing at all; to be idle.";"To fritter away the time; to sit twiddling";0.0
364;ПЛЕСТИСЬ КАК ЧЕРЕПАХА;pleßtißj kak tscherepacha;Sich wie eine Schildkröte dahinschleppen.;"Ganz langsam gehen; schleichen. ";im Schneckentempo gehen;0.5;ПЛЕСТИСЬ КАК ЧЕРЕПАХА;pl’estis’ kak cher’epakha;To crawl like a tortoise.;"To go very slowly; to drag oneself along; to trudge.";"To go at a crawl; to move at a snail’s pace";0.0
365;ПЛЫТЬ ПО ТЕЧЕНИЮ;plytj po tetscheniju;Mit der Strömung schwimmen.;"Die allgemeine Meinung vertreten; sich den Umstanden anpassen.";mit dem Strom schwimmen;0.5;ПЛЫТЬ ПО ТЕЧЕНИЮ;plyt’ po t’echeniyu;To go down stream;"To do or think as most people do; to allow one’s actions and principles to be guided solely by the prevailing trend; to be carried away by the course of events.";"To go/ swim with the stream/current; to follow the crowd.";1.0
366;ПОБЫВАТЬ В чьей-либо ШКУРЕ;pobywatj w (tschjej-libo) schkure;Sich in j-s Haut aufhalten.;Sich in j-s Lage befinden (meist einer unangenehmen).;in j-s Haut stecken;0.5;ПОБЫВАТЬ В чьей-либо ШКУРЕ;pobyvat’ v shkur’e;To be in someone else’s hide.;To be in the same unpleasant position or adverse circumstances as someone else.;To be in someone’s shoes/skin;1.0
367;ПОГНАТЬСЯ ЗА ДВУМЯ ЗАЙЦАМИ;pognatza sa dwumja sajzami;Zwei Hasen nachjagen;Gleichzeitig zwei Ziele verfolgen.;;0.0;ПОГНАТЬСЯ ЗА ДВУМЯ ЗАЙЦАМИ;pognattsa za dvum’a zaitsami;To pursue two different aims simultaneously ;To run after two hares.;;0.0
368;ПО ГОРЯЧИМ СЛЕДАМ;po gorjatschim ßledam;Auf heißen Spuren.;Unverzüglich im Anschluß an ein Ereignis.;;0.0;ПО ГОРЯЧИМ СЛЕДАМ;po gor’achim sl’edam;While the tracks are hot.;"Without losing time; immediately, directly after some event.";To let no grass grow under one’s feet;0.0
369;ПОДВЕРНУТЬСЯ ПОД РУКУ;podwernutza pod ruku;Plötzlich unter die Hand geraten. ;"Zufällig verfügbar sein; greifbar sein.";;0.0;ПОДВЕРНУТЬСЯ ПОД РУКУ;podv’ernuttsa pod ruku;to turn up under one’s hand;Something turns up without one’s having to make a special search for it.;To come to hand;0.5
370;ПОДВЕСТИ кого-либо ПОД МОНАСТЫРЬ;podweßti (kowo-libo) pod monaßtyrj;J-n unter das Kloster führen. ;J-m Unannehmlichkeiten bereiten.;j-n in Teufels Küche bringen;0.0;ПОДВЕСТИ кого-либо ПОД МОНАСТЫРЬ;podv’esti pod monastyr’;To bring someone up to a monastery. ;"To put someone into a difficult position; to put someone in a tight spot; to cause someone much trouble.";;0.0
371;ПОДВОДНЫЕ КАМНИ;podwodnyje kamni;Steine unter Wasser.;"Versteckte Gefahren; unverhoffte Schwierigkeiten.";gefährliche Klippen;0.0;ПОДВОДНЫЕ КАМНИ;podvodnyye kamni;Under-water rocks.;"A difficulty which is hard to foresee; a hidden obstacle; a snag.";;0.0
372;ПОД ГОРЯЧУЮ РУКУ;pod gorjatschuju ruku;Unter einer hitzigen Hand.;Im Zustand der Erregung, der Gereiztheit (etw. tun).;in der Hitze des Gefechts;0.0;ПОД ГОРЯЧУЮ РУКУ;pod gor’achuyu ruku;Under a hot hand.;One does something while still angry, excited, disturbed.;In the heat of the moment.;0.0
373;ПОДЖАТЬ ХВОСТ;podshatj chwoßt;Den Schwanz einziehen.;"Klein beigeben; bescheidener werden";den Schwanz einziehen;1.0;ПОДЖАТЬ ХВОСТ;podzhat’ khvost;To turn one’s tail between one’s legs;"To become more cautious, circumspect; to cease boasting; to become less self-assured.";"To have/put one’s tail between one’s legs; to sing small";1.0
374;ПОДЛИТЬ МАСЛА В ОГОНЬ;podlitj maßla w ogonj;Öl ins Feuer gießen.;"Die Beziehungen verschärfen; den Zorn noch mehr entfachen; den Streit schüren.";Öl ins Feuer gießen;1.0;ПОДЛИТЬ МАСЛА В ОГОНЬ;podlit’ masla v ogon’;To add oil to the fire.;"To act or speak in such a way as to increase the existing passion or excitement; to aggravate the trouble; to make a bad matter worse.";To add fuel to the fire;1.0
375;ПОДЛОЖИТЬ СВИНЬЮ;podloshitj ßwinju;J-m ein Schwein zuschieben.;"J-n hereinlegen; j-m Unannehmlichkeiten bereiten.";"j-m ein Bein stellen; j-m einen Knüppel zwischen die Beine werfen";0.0;ПОДЛОЖИТЬ СВИНЬЮ;podlozhit’ svin’yu;To lay a pig near someone;To do a vile thing to someone on the sly.;To play a dirty/mean trick on someone;0.0
376;ПОДНЕСТИ ПИЛЮЛЮ;podneßti piljulju;Eine Pille reichen.;Etw. Unangenehmes, Beleidigendes sagen oder tun. ;j-m eine bittere Pille geben;0.5;ПОДНЕСТИ ПИЛЮЛЮ;podn’esti pil’ul’u;To bring a pill to someone.;To say or do something unpleasant, annoying, insulting.;To give someone a bitter pill to swallow;0.5
377;ПОДНИМАТЬ НА ЩИТ;podnimatj na stschit;Auf den Schild erheben.;"Sehr loben; preisen.";;0.0;ПОДНИМАТЬ НА ЩИТ;podnimat’ na shchit;To raise something or someone up on the shield.;To extol, to eulogize, to boost;To praise to the skies;0.0
378;ПОД НОСОМ у кого-либо;pod noßom (u kowo-Iibo);Unter der Nase bei j-m.;In unmittelbarer Nähe.;"vor der Nase; vor j-s Augen";0.5;ПОД НОСОМ;pod nosom;Under one’s nose.;"Directly in front of one; in plain view; in one’s presence.";"Near at hand; under someone’s very nose; before someone’s face";1.0
379;ПОДНЯТЬ ВСЕХ НА НОГИ;podnjatj wßech na nogi;Alle auf die Füße stellen.;"Zur Tätigkeit anhalten; in Bewegung bringen.";alle auf die Beine bringen;0.5;ПОДНЯТЬ ВСЕХ НА НОГИ;podn’at’ vs’ekh na nogi;To raise everybody to his feet;"To disturb everyone; to raise the alarm; to make everyone be more active; to rouse everyone to action.";;0.0
380;ПОДПИСЫВАТЬСЯ под чем-либо ОБЕИМИ РУКАМИ;podpißywatza (pod tschem-libo) obeimi rukami;Etw. mit beiden Händen unterschreiben.;Bereitwillig seine Zustimmung zu etw. geben.;;0.0;ПОДПИСЫВАТЬСЯ под чем-либо ОБЕИМИ РУКАМИ;podpisyvattsa ob’eimi rukami;To sign something with both hands.;"To willingly agree to something; to fully endorse something.";;0.0
381;ПОДРЕЗАТЬ кому-либо КРЫЛЬЯ;podresatj (komu-libo) krylja;J-m die Flügel beschneiden.;"J-s Freiheit einschränken; j-s Glauben an die eigene Kraft, an die eigenen Möglichkeiten erschüttern.";j-m die Flügel stutzen;0.5;ПОДРЕЗАТЬ кому-либо КРЫЛЬЯ;podr’ezat’ kryl’ya;To clip someone’s wings;"To limit one’s movements, activities; to hamper one’s freedom of action; to destroy one’s self- confidence; to undermine one’s power or ability to do something.";To clip/cut someone’s wings/claws;1.0
382;ПОД СУРДИНКУ;pod ßurdinku;Mit dem Dämpfer.;Heimlich, unbemerkt.;;0.0;ПОД СУРДИНКУ;pod surdinku;With a mute.;"Softly, gently; on the quiet; on the sly; without being noticed";;0.0
383;ПОЖИНАТЬ ПЛОДЫ;poshinatj plody;Die Früchte ernten.;"Etw. ausnützen; vorliegende Ergebnisse verwenden.";die Früchte ernten;1.0;ПОЖИНАТЬ ПЛОДЫ;pozhinat’ plody;To reap the fruits;To experience the results of one’s actions, deeds, behaviour.;To reap the fruits of something.;1.0
384;ПОЙМАТЬ НА УДОЧКУ;pojmatj na udotschku;Mit der Angel fangen.;J-n überlisten, verlocken.;j-n an der Angel haben;0.5;ПОЙМАТЬ НА УДОЧКУ;poymat’ na udochku;To catch someone on one’s fishing line.;" By deceiving or outwitting someone to cause him to do something; to trick or to fool someone.";To catch out;0.0
385;ПОКАЗАТЬ, ГДЕ РАКИ ЗИМУЮТ;pokasatj, gde raki simujut;Zeigen, wo die Krebse den Winter verbringen.;Es j-m zeigen (als Drohung).;j-m zeigen, was eine Harke ist;0.0;ПОКАЗАТЬ, ГДЕ РАКИ ЗИМУЮТ;pokazat’ gd’e raki zimuyut;To show someone where the crayfish winter;"To teach someone a lesson; to punish someone; to scold someone severely.";"To make it hot for someone; to show someone a thing or two";0.0
