id,head_ru,transliteration,literal,meaning,equivalents
309,НЕ УМЕТЬ ДВУХ СЛОВ СВЯЗАТЬ,n’e um’et’ dvukh slov sv’azat’,To be unable to tie two words together,To be unable to formulate one’s ideas or express one’s thoughts; to be incoherent,He can’t put two words together
310,НЕ ФУНТ ИЗЮМУ,n’e funt iz’umu,That’s not a pound of raisins,"It’s not a trifle; it’s not to be regarded as negligible or unimportant; it’s no light,matter; it’s no joke.",It’s not to be sneezed/sniffled at
311,НЕЧИСТ НА РУКУ,n’echist na ruku,Having an unclean hand.,"Inclined to stealing, swindling or cheating; dishonest, underhanded.",
312,HE ЧУЯТЬ НОГ ПОД СОБОЙ,n’e chuyat’ nog pod soboy,Not to feel one’s feet under oneself.,"To be very happy, to be highly delighted",To be beside oneself with joy; to tread/walk on air
313,НИ ДВА НИ ПОЛТОРА,ni dva ni poltora,Neither two nor one and a half.,Defies classification; neither good rior bad neither one thing nor the other.,
314,НИ ЖИВ НИ МЁРТВ,ni zhiv ni m’ortv,Neither alive nor dead,Despondent; petrified with fear or astonishment.,More dead than alive.
315,НИ ЗА КАКИЕ КОВРИЖКИ,ni za kakiye kovrizhki,Not for any gingerbread.,Not for anything; not on any account.,Not for the world; not on your life
316,НИ КОЛА НИ ДВОРА,ni kola ni dvora,Neither a picket nor a yard.,To be very poor; not to have a roof over one’s head.,"To have neither house nor home. Beside the point, out of place; for no apparent reason; quite irrelevantly."
317,НИ К СЕЛУ НИ К ГОРОДУ,ni k s’elu ni k gorodu,Neither to the village nor to the town.,"Beside the point, out of place; for no apparent reason; quite irrelevantly",Neither here nor there
318,НИ НА ЧТО HE ПОХОЖЕ,ni na shto n’e pokhozhe,It doesn’t look like anything.,Very bad; unthinkable; unheard of; like nothing on earth; that won’t do; that’s no good at all.,
319,НИ ПУХА НИ ПЕРА!,ni pukha ni p’era,Neither down nor feather.,Good luck!,
320,НИ РЫБА НИ МЯСО,ni ryba ni m’aso,Neither fish nor meat.,A mediocre person.,"Neither fish, flesh nor fowl."
321,НОЖ ОСТРЫЙ,nozh ostry,A sharp knife.,"Something extremely unpleasant or painful; something is the source of annoyance, grief, etc.",Gall and wormwood; this is sheer agony/hell.
322,НОМЕР HE ПРОЙДЁТ,nom’er n’e proyd’ot,The number won’t pass through.,That won’t do; you can’t get away with it.,Nothing doing; that trick won’t work; that won’t wash.
323,НОСА НЕ ВЫСУНУТЬ,nosa n’e vysunut’,Not to peep out one’s nose.,One can’t go outside.,One can’t even stick his nose out of the house
324,НОСИТЬ ВОДУ РЕШЕТОМ,nosit’ vodu r’eshetom,To carry water in a sieve.,To do something useless; to waste time.,To plough the sand
325,НУЖЕН КАК ПРОШЛОГОДНИЙ СНЕГ,nuzhen kak proschlogodny sn’eg,As needed as last year’s snow,Here is no need to.,
326,ОБВЕСТИ ВОКРУГ ПАЛЬЦА,obv’esti vokrug pal’tsa,To lead someone round a finger.,"Without any difficulty to make a person do exactly what one wishes; to be able to handle or manage someone with ease; to cajole, persuade some artfully",To twist/turn someone round one’s little finger.
327,ОБЕЩАТЬ ЗОЛОТЫЕ ГОРЫ,ob’eshchat’ zolotyye gory,To promise mountains of gold,To promise someone a fortune; to make extravagant promises.,To promise the moon
328,ОБИВАТЬ ПОРОГИ,obivat’ porogi,To knock against the thresholds.,To go frequently somewhere trying to obtain something; to apply or petition with dogged persistence.,To haunt someone’s threshold; to camp on someone’s doorstep
329,ОБРАТИТЬСЯ HE ПО АДРЕСУ,obratittsa n’e po adr’esu,To apply to the wrong address.,To come to the wrong person or place to get what one requires.,To come to the wrong shop
330,ОДИН КАК ПЕРСТ,odin kak p’erst,Alone as a finger.,All alone in the world; all by oneself; without kinfolk.,
331,"ОДНА НОГА ЗДЕСЬ, ДРУГАЯ ТАМ",odna noga zd’es’ drugaya tarn,"One foot’s here, the other’s there.","To go and fetch, to run and fetch; to do something very quickly, with lightning speed.",
332,ОДНОГО ПОЛЯ ЯГОДА,odnovo pol’a yagoda,A berry from the same field.,"They look alike; they are similar in disposition, tastes, etc.; they are well matched; they deserve each other; one is no better than the other.",Not a pin to choose between them; cut from the same cloth; birds of one feather
333,ОКАЗАТЬСЯ МЕЖДУ ДВУХ ОГНЕЙ,okazattsa m’ezhdu dvukh ogn’ey,To find oneself between two fires.,"To be or find oneself between two equally serious evils or dangers, between equally unpleasant alternatives, in a perplexing situation; to be attacked from two directions; to be criticized from both sides.",Between the devil and the deep blue sea; between two fires
334,ОКАЗАТЬСЯ МЕЖДУ НЕБОМ И ЗЕМЛЁЙ,okazattsa m’ezhdu n’ebom i z’eml’oy,To find oneself between the sky and the earth.,,
335,ОКАТИТЬ ХОЛОДНОЙ ВОДОЙ,okatit’ kholodnoy vodoy,To pour cold water over someone.,"To disparage someone, to discourage someone’s enthusiasm; to damp someone’s ardour; to throw someone into confusion.",To throw/ pour cold water on/over someone.
336,ОКУНУТЬСЯ С ГОЛОВОЙ,konuttsa z golovoy,To plunge headlong,"To become utterly absorbed/engrossed in something; to be deeply immersed, irrevocably involved.",To be up to one’s ears in something; to throw oneself in something
337,ОПУСТИТЬ РУКИ,opustft’ rtiki,To lower one’s hands,"To lose interest; to become disappointed, depressed; to be disheartened",To lose heart
338,ОСТАВИТЬ С НОСОМ,ostavit’s nosom,To leave someone with his nose.,To leave someone without something he had hoped for; to make a fool of someone; to trick someone.,To leave someone holding the bag
339,ОСТАТЬСЯ НА БОБАХ,ostattsa na bobakh,To be left on the beans,To be left without something one has hoped for; to be out in one’s reckoning; to get nothing for one’s pains; to be left with nothing.,To be left holding the bag
340,ОСТАТЬСЯ У РАЗБИТОГО КОРЫТА,ostattsa u razbitovo koryta,To be left at the broken wash-tub.,"To be left with nothing, having lost everything one had; to be no better off than when one started.",To be back at the bottom of the ladder
341,ОТКЛАДЫВАТЬ НА ЧЁРНЫЙ ДЕНЬ,otkladyvat’ na chorny d’en’,To put aside for a black day,"To save or reserve something (usually one’s income) for time of trouble, for bad times.",To save/put by for a rainy day
342,ОТКРЫВАТЬ АМЕРИКУ,otkryvat’ am’eriku,To discover America.,To say something that everyone has long been aware of; to say or explain something that is already well known to everyone; to retail stale news.,The Dutch have taken Holland; Queen Ann is dead
343,ОТКРЫВАТЬ кому-либо ГЛАЗА на кого-либо/что-либо,otkryvat’ glaza,To open someone’s eyes to someone or something,"To enable one to understand, to cause one be aware of or to realise a fact, truth, reality to which one had been blind.",To open someone’s eyes to something or someone
344,ОТКРЫВАТЬ кому-либо ДУШУ/СЕРДЦЕ,otkryvat’ dushu/s’ertse,To open one’s soul / heart to someone.,To tell someone frankly of one’s innermost thoughts or feelings.,To lay bare one’s heart
345,ОТКРЫВАТЬ СВОИ КАРТЫ,otkryvat’ svoyi karty,To show one’s cards,To stop making secrets of one’s plans or intentions; to reveal candidly all one’s aims,To lay / put one’s cards on the table; to show one’s hand
346,ОТКУДА СЫР-БОР ЗАГОРЕЛСЯ,otkuda syr-bor zagor’els’a,Cf. To lay /put one’s,cards on the table; to show one’s hand.,That's how it all started.
347,ПАЛЕЦ О ПАЛЕЦ НЕ УДАРИТЬ,pal’ets o pal’ets n’e udarit’,Not to strike one finger against another.,To be idle; not to stir oneself; not to make the slightest effort to attain one’s goal.,Not to raise/lift a finger. Not to hurt a fly.
348,ПАЛКА О ДВУХ КОНЦАХ,palka o dvukh kontsakh,A staff with two ends.,Something that can have pleasant and unpleasant consequences; something that can bring good as well as harm.,A double-edged/two-edged weapon; it cuts both ways.
349,ПАЛЬЦА В РОТ НЕ КЛАДИ,pal’tsa v rot n’e kladi,Don’t put your finger in his/ her mouth.,Someone is not to be trifled with; with this man one must be scrupulously exact; one must be on one’s guard with him because he is likely to take advantage of another’s false step.,
350,ПАЛЬЦЕМ никого HE ТРОНУТЬ,pal’tsem n’e tronut’,Not to touch anyone with one’s finger,Not to do anyone any harm; not to hit someone.,Not to hurt a fly.
351,ПАЛЬЧИКИ ОБЛИЖЕШЬ,pal’chiki oblizhesh,You’ll lick your fingers clean.,You’ll lick your fingers clean,Finger-licking good
352,ПЕРВАЯ ЛАСТОЧКА,p’ervaya lastochka,The first swallow.,The first portent of something.,
353,ПЕРЕГИБАТЬ ПАЛКУ,p’er’egibat’ palku,To bend the stick.,To go beyond the appointed or accepted limit; to go to the extreme; to go too far; to overdo something.,To overshoot the mark.
354,ПЕРЕЛИВАТЬ ИЗ ПУСТОГО В ПОРОЖНЕЕ,p’erelivat’ is pustovo v porozhn’eye,To pour something from one empty vessel into another.,To waste time on something useless; to waste time in useless debate; to engage in idle chatter.,To mill the wind; to beat the air.
355,ПЕРЕЛОМИТЬ СЕБЯ,p’er’elomit’ seb’a,To break oneself in two,"To master oneself; to conquer one’s temper; to change one’s behaviour, character, habits; to restrain or suppress one’s feelings; to overcome oneself or something in oneself.",
356,ПЕРЕМЫВАТЬ КОСТОЧКИ,p’er’emyvat’ kostochki,To wash someone’s bones.,"To gossip, to say spiteful things about someone; to find detailed faults in a person.",To pick/pull someone to pieces
357,ПЕРЕПОЛНИТЬ ЧАШУ ТЕРПЕНИЯ,p’er’epolnit’ chashu t’erp’eniya,To overfill the cup of patience,To bring someone to the end of his endurance or patience; to exasperate someone; to be at the end of one’s tether,The last straw; to break the camel’s back
358,ПЕСЕНКА СПЕТА,p’es’enka sp’eta,One’s song has been sung.,One is near his end; one is ruined; it’s all done with him; he’s done for.,Someone’s goose is cooked
359,ПИСАТЬ КАК КУРИЦА ЛАПОЙ,pisat’ kak kuritsa lapoy,To write like a chicken with its claw,To write quite indecipherably,One’s handwriting is like chicken tracks
360,ПЛАВАТЬ КАК ТОПОР,plavat’ kak topor,To swim like an axe.,To be a poor swimmer or not to be able to swim at all.,To swim like a stone/like a tailor’s goose
361,ПЛАКАТЬСЯ В ЖИЛЕТКУ,plakattsa v zhil’etku,To weep into someone’s waistcoast,To bewail one’s fate seeking sympathy or consolation.,To cry on someone’s shoulder
362,ПЛАТИТЬ ТОЙ ЖЕ МОНЕТОЙ,platit’ toy zhe mon’etoy,To pay someone back in the same coin.,To act by using on an opponent the same methods he employed against one; to return like for like; to retaliate.,To pay one back in his own coin; to pay/answer back in kind
363,ПЛЕВАТЬ В ПОТОЛОК,pl’evat’ v potolok,To spit at the ceiling,To do nothing at all; to be idle.,To fritter away the time; to sit twiddling
364,ПЛЕСТИСЬ КАК ЧЕРЕПАХА,pl’estis’ kak cher’epakha,To crawl like a tortoise.,To go very slowly; to drag oneself along; to trudge.,To go at a crawl; to move at a snail’s pace
365,ПЛЫТЬ ПО ТЕЧЕНИЮ,plyt’ po t’echeniyu,To go down stream,To do or think as most people do; to allow one’s actions and principles to be guided solely by the prevailing trend; to be carried away by the course of events.,To go/ swim with the stream/current; to follow the crowd.
366,ПОБЫВАТЬ В чьей-либо ШКУРЕ,pobyvat’ v shkur’e,To be in someone else’s hide.,To be in the same unpleasant position or adverse circumstances as someone else.,To be in someone’s shoes/skin
367,ПОГНАТЬСЯ ЗА ДВУМЯ ЗАЙЦАМИ,pognattsa za dvum’a zaitsami,To pursue two different aims simultaneously ,To run after two hares.,
368,ПО ГОРЯЧИМ СЛЕДАМ,po gor’achim sl’edam,While the tracks are hot.,"Without losing time; immediately, directly after some event.",To let no grass grow under one’s feet
369,ПОДВЕРНУТЬСЯ ПОД РУКУ,podv’ernuttsa pod ruku,to turn up under one’s hand,Something turns up without one’s having to make a special search for it.,To come to hand
370,ПОДВЕСТИ кого-либо ПОД МОНАСТЫРЬ,podv’esti pod monastyr’,To bring someone up to a monastery. ,To put someone into a difficult position; to put someone in a tight spot; to cause someone much trouble.,
371,ПОДВОДНЫЕ КАМНИ,podvodnyye kamni,Under-water rocks.,A difficulty which is hard to foresee; a hidden obstacle; a snag.,
372,ПОД ГОРЯЧУЮ РУКУ,pod gor’achuyu ruku,Under a hot hand.,"One does something while still angry, excited, disturbed.",In the heat of the moment.
373,ПОДЖАТЬ ХВОСТ,podzhat’ khvost,To turn one’s tail between one’s legs,"To become more cautious, circumspect; to cease boasting; to become less self-assured.",To have/put one’s tail between one’s legs; to sing small
374,ПОДЛИТЬ МАСЛА В ОГОНЬ,podlit’ masla v ogon’,To add oil to the fire.,To act or speak in such a way as to increase the existing passion or excitement; to aggravate the trouble; to make a bad matter worse.,To add fuel to the fire
375,ПОДЛОЖИТЬ СВИНЬЮ,podlozhit’ svin’yu,To lay a pig near someone,To do a vile thing to someone on the sly.,To play a dirty/mean trick on someone
376,ПОДНЕСТИ ПИЛЮЛЮ,podn’esti pil’ul’u,To bring a pill to someone.,"To say or do something unpleasant, annoying, insulting.",To give someone a bitter pill to swallow
377,ПОДНИМАТЬ НА ЩИТ,podnimat’ na shchit,To raise something or someone up on the shield.,"To extol, to eulogize, to boost",To praise to the skies
378,ПОД НОСОМ,pod nosom,Under one’s nose.,Directly in front of one; in plain view; in one’s presence.,Near at hand; under someone’s very nose; before someone’s face
379,ПОДНЯТЬ ВСЕХ НА НОГИ,podn’at’ vs’ekh na nogi,To raise everybody to his feet,To disturb everyone; to raise the alarm; to make everyone be more active; to rouse everyone to action.,
380,ПОДПИСЫВАТЬСЯ под чем-либо ОБЕИМИ РУКАМИ,podpisyvattsa ob’eimi rukami,To sign something with both hands.,To willingly agree to something; to fully endorse something.,
381,ПОДРЕЗАТЬ кому-либо КРЫЛЬЯ,podr’ezat’ kryl’ya,To clip someone’s wings,"To limit one’s movements, activities; to hamper one’s freedom of action; to destroy one’s self- confidence; to undermine one’s power or ability to do something.",To clip/cut someone’s wings/claws
382,ПОД СУРДИНКУ,pod surdinku,With a mute.,"Softly, gently; on the quiet; on the sly; without being noticed",
383,ПОЖИНАТЬ ПЛОДЫ,pozhinat’ plody,To reap the fruits,"To experience the results of one’s actions, deeds, behaviour.",To reap the fruits of something.
384,ПОЙМАТЬ НА УДОЧКУ,poymat’ na udochku,To catch someone on one’s fishing line., By deceiving or outwitting someone to cause him to do something; to trick or to fool someone.,To catch out
385,"ПОКАЗАТЬ, ГДЕ РАКИ ЗИМУЮТ",pokazat’ gd’e raki zimuyut,To show someone where the crayfish winter,To teach someone a lesson; to punish someone; to scold someone severely.,To make it hot for someone; to show someone a thing or two
386,ПОКАЗАТЬ КОГТИ,pokazat’ kogti,To show one’s claws,"To show hostility, anger, or resentment; to display a threatening attitude",To show one’s teeth
387,ПОКАЗАТЬ ПЯТКИ,pokazat’ p’atki,To show one’s heels.,To run away; to escape.,To take to one’s heels; to show a clean pair of heels; to take flight.
388,ПОКАЗЫВАТЬ ТОВАР ЛИЦОМ,pokazyvat’ tovar litsom,To show one’s goods from the right side.,To show a thing its best side; to make the best of something to show something to its full advantage; to display oneself in a favourable light.,
389,ПОЛНАЯ ЧАША,polnaya chasha,"One lives in plenty, in affluence, in luxury",,
390,ПОЛОЖА РУКУ НА СЕРДЦЕ,polozha ruku na sertse,With one’s hand on one’s heart.,"To say something quite frankly, candidly, sincerely.","To say something with one’s hand upon one’s heart, open-heartedly"
391,ПОЛОЖИТЬ ЗУБЫ НА ПОЛКУ,polozhit’ zuby na polku,To put one’s teeth on a shelf,To go hungry; to starve.,To tighten one’s belt
392,ПОЛОЖИТЬ кого-либо НА ОБЕ ЛОПАТКИ,polozhit’ na ob’e lopatki,To put someone on both his shoulder-blades.,"To defeat an opponent in an argument, competition, contest, etc.; to beat someone.",
393,ПОЛОЖИТЬ что-либо ПОД СУКНО,polozhit’ pod sukno,To put something under the cloth.,To delay or postpone consideration of an official paper; to pigeon-hole a request or an application; to shelve a problem or a plan,
394,ПОПАДАТЬСЯ кому-либо НА ЯЗЫК,popadattsa na yazyk,To land on someone’s tongue,To become the subject of criticism.or gossip.,
395,ПО ПАЛЬЦАМ МОЖНО СОСЧИТАТЬ,po pal’tsam mozhno soshchitat’,They can be counted on one’s fingers.,Very few; in small quantities.,You can count them on your fingers
396,ПОПАСТЬ В ПЕРЕПЛЁТ,popast’ v per’epl’ot,To get into a binding.,To get into a difficulty or into trouble; to find oneself in an awkward or dangerous situation.,To get into a scrape/mess/tight corner; to be in a spot; to be/be caught in a bind
397,ПОПАСТЬ В ТОЧКУ,popast’ v tochku,To hit the right point,To come to the right conclusion; to come at the crux of the matter; to say or do what is exactly right as if by guessing correctly what must be said or done in the circumstances.,To hit the nail on the head; to hit the bull’s eye/the mark
398,ПОПАСТЬ КАК КУР ВО ЩИ,popast’ kak kur vo shchi,To get oneself into the shchi*,To get into trouble; to be caught.,To get/fall into the soup; to get into hot water
399,ПОПАСТЬ кому-либо НА ЗУБОК,popast’ na zubok,To find oneself on someone’s little tooth,To be subjected to biting or sarcastic criticism; to become the butt of ridicule.,To be torn to pieces
400,"ПОПАСТЬ HE В БРОВЬ, А В ГЛАЗ",popast’ n’e v brov’ a v glaz,To hit not the eyebrow but the eye.,To guess right; to say something that is exactly right; to give the true explanation.,To hit the nail on the head; that hit the mark; you’ve said it!
401,ПОПАСТЬ ПАЛЬЦЕМ В НЕБО,popast’ pal’tsem v n’cbo,To hit the sky with one’s finger.,To say or do something that is far from - being correct or quite out of place; to answer irrelevantly.,To get/take the wrong sow by the ear; to be wide of /way off the mark
402,ПОПАСТЬСЯ НА чью-либо УДОЧКУ,popasttsa na lidochku,To be caught on someone’s fishing line.,"To permit oneself to be fooled; to fall for a hoax or trap; to accept a proposal, an offer, etc. made to tempt one to do something.",To swallow the bait: to rise to the fly; to be taken in; to fall into someone’s trap/snare
403,ПОРОХУ НЕ ВЫДУМАЕТ,porokhu n’e vydumayet,He will not invent gunpowder.,"He will never do anything remarkable or outstanding (usually said of a dull-witted, not very bright person).",He will never set the Thames/world on fire
404,ПОРОХУ HE ХВАТАЕТ,porokhu n’e khvatayet,Not enough gunpowder.,"One lacks energy, strength or resolution to do something.",It’s beyond him; he has not it in him; he is not up to it
405,ПОСАДИТЬ кого-либо В ГАЛОШУ,posadit’ v galoshu,To put someone into a galosh,Put someone into an embarrassing or uncomfortable situation; to be made fun of; to get someone into a fix; to be in an awkward predicament.,
406,ПОСЛЕДНИЙ КРИК МОДЫ,posl’edny krik mody,The latest cry of fashion.,The latest fashion; the latest craze.,The last word in fashion.
407,ПОСЛЕДНЯЯ КАПЛЯ,posl’edn’aya kapl’a,The last drop.,The final circumstance of a series that makes a situation unbearable.,The last straw.
408,ПОСЛЕДНЯЯ СПИЦА В КОЛЕСНИЦЕ,posl’edn’aya spitsa v kol’esnitse ,The last spoke in the chariot. ,A person of very little importance; one who doesn’t count; a minor figure.,A mere cog in the machine.
409,ПОСЛЕ ДОЖДИЧКА В ЧЕТВЕРГ,posl’e dozhdichka v chetv’erg,After a little rain on a Thursday.,No one knows when.,When pigs fly; when two Fridays come together
410,ПОСТАВИТЬ ВОПРОС РЕБРОМ,postavit’ vopros r’ebrom,To put a question edgewise.,"To announce or state something categorically; to say something in a manner that leaves no room for doubt; to ask something directly, openly; to put a question point-blank.",Not to mince words.
411,ПОСТАВИТЬ ВСЁ НА КАРТУ,postavit’ vs’o na kartu,To put everything on the card.,"To risk all that one has on a single venture, method, etc.; to stake all one’s hopes on one source or means.",To put all one’s eggs in one basket
412,ПОСТАВИТЬ кого-либо В ТУПИК,postavit’ v tupik,To put someone in a blind alley.,"To bewilder, to puzzle, to nonplus someone; to throw someone into confusion.",
413,ПОСТАВИТЬ КРЕСТ на ком-либо/чём-либо,postavit’ kr’est,To put a cross on someone/something,To lose faith in someone or something; to stop thinking of someone or something; to give someone up for lost; to give something up as a hopeless case.,To kiss something good-bye
414,ПОСТАВИТЬ кого-либо НА СВОЁ МЕСТО,postavit’ na svoyo m’esto,To put someone in his place,To snub a person who is overstepping his bounds; to check someone’s presumption,To put someone in his place. To rest on one’s laurels
415,ПОЧИВАТЬ НА ЛАВРАХ,pochivat’ na lavrakh,To sleep on one’s laurels,To be satisfied with what one has already achieved or accomplished without striving for more.,To rest on one’s laurels
416,ПРИБИРАТЬ К РУКАМ,pribirat’ k rukam,To take something in one’s hands,"To appropriate, to seize, to take possession of.",To lay one’s hands on something
417,ПРИВЕСТИ кого-либо В СЕБЯ,priv’esti v seb’a,To bring someone into oneself.,To cause someone to regain consciousness; to revive someone.,To bring someone round/to
418,ПРИЛОЖИТЬ РУКУ к чему-либо,prilozhit’ ruku,To put one’s hand on something,"To be actively involved in something (usually reprehensible, blameworthy).",To have/take a hand in something; to have a finger in the pie.
419,ПРИНИМАТЬ ЗА ЧИСТУЮ МОНЕТУ,prinimat’ za chistuyu mon’etu,To take for a pure coin.,To regard something as true; to take something seriously.,To take in good faith; to take at face value
420,ПРИПИРАТЬ кого-либо К СТЕНКЕ,pripirat’ k st’enk’e,To press someone against the wall.,"To put someone in a difficult or embarrassing position, forcing him to do or admit something; to put someone in desperate straits.",To drive/push someone to the wall; to drive someone into a corner; to pin someone down
421,ПРИТЯНУТЬ что-либо ЗА УШИ,prit’anut’ za ushi,To pull something up by the ears.,To make use of something without adequate grounds; to advance farfetched arguments.,To drag something in.
422,ПРОБНЫЙ ШАР,probny shar,A trial ball.,An approach or device (usually by making discreet inquiries) used to clarify a situation or test the opinions or feelings of others.,A trial balloon; a feeler
423,ПРОВАЛИТЬСЯ С ТРЕСКОМ,provalittsa s tr’eskom,To collapse with a bang,To flop; to be a complete and ignominious failure.,To come a cropper/crasher; to fall flat on one’s face.
424,ПРОГЛОТИТЬ ПИЛЮЛЮ,proglotit’ pil’ul’u,To swallow the pill.,"To disregard an insult; to endure an offence patiently, without resistance or complaint.",To swallow a bitter pill.
425,ПРОГЛОТИТЬ ЯЗЫК,proglotit’ yazyk,To swallow one’s tongue.,To fall silent; to stop talking.,To lose one’s tongue.
426,ПРОЖУЖЖАТЬ ВСЕ УШИ,prozhuzhzhat’ vs’e lishi,To buzz someone’s ears through.,To bore someone by telling him some- thing over and over again; to keep dinging something into someone’s ears.,To talk someone’s ears off about something; to drone on at someone; to go rabbiting on
427,ПРОЙТИ КРАСНОЙ НИТЬЮ,proyti krasnoy nit’yu,To run through something with a red thread,"To be the basic idea, the key-note, the essence of something; to run through something (e. g. a book or a speech)",
428,ПРОЙТИ СКВОЗЬ ОГОНЬ И ВОДУ,proyti skvoz’ ogon’ i vodu ,To go through fire and water,To go through a great deal in life; to encounter or face | the greatest dangers or hardest experiences; to endure perils of all kinds,To go through fire and water; to go through the mill
429,ПРОЙТИСЬ ПО чьему-либо АДРЕСУ,proytis’ po adr’esu,To walk up and down someone’s address,To make a snide remark about someone; to make fun of someone; to make an implied criticism.,To have a fling at someone; go give someone a bad write-up
430,ПРОПУСКАТЬ МИМО УШЕЙ,propuskat’ mimo ushey ,To let something pass by one’s ears,To pay no attention or not to react to something that has been or is being said.,
431,ПРЯТАТЬ КОНЦЫ В ВОДУ,pr’atat’ kontsy v vodu,To hide the ends in water.,"To destroy evidence; to bury, remove every trace of something; to cover up one’s tracks.",And no one is the wiser.
432,ПТИЧЬЕГО МОЛОКА HE ХВАТАЕТ,ptich’yevo moloka n’e khvatayet,Someone lacks bird’s milk.,A great abundance of everything.,
433,ПУД СОЛИ СЪЕСТЬ с кем-либо,pud soli s’yest’,To eat a pood* of salt with someone,To live with or know someone for a long time; to spend a long time together with someone.,
434,ПУСКАТЬ КОЗЛА В ОГОРОД,puskat’ kozla v ogorod,To let the goat into the kitchen garden.,"To give someone access to a place where he may be particularly harmful or dangerous, or to something from which he wishes to profit.",
435,ПУСКАТЬ кому-либо ПЫЛЬ В ГЛАЗА,puskat’ pyl’ v glaza,To throw dust in someone’s eyes,"To make a false impression; to try to impress people with one’s superiority, to display oneself; to act in an ostentatious manner",To put on airs; to cut a dash; to throw dust in someone’s eyes
436,ПУШКОЙ HE ПРОШИБЁШЬ,pushkoy n’e proshib’osh,You won’t breach it with a cannon-ball.,"You can’t persuade him, you can’t influence him, you can’t budge him.",
437,РАБОТАТЬ ЗАСУЧИВ РУКАВА,rabotat’ zasuchiv rukava,To work with one’s sleeves rolled up. ,"To work assiduously, strenuously.",
438,РАБОТАТЬ HE ПОКЛАДАЯ РУК,rabotat’ n’e pokladaya ruk,To work without giving rest to one’s hands.,"To work unceasingly, tirelessly, indefatigably.",To be as busy as a bee
439,РАЗБИВАТЬСЯ В ЛЕПЁШКУ,razbivattsa v l’ep’oshku,"To do one’s utmost, to strain every nerve,",to do next to impossible to attain one’s end.,To lay oneself out; to go all out
440,РАЗВЕСИТЬ УШИ,razv’esit’ ushi,To hang out one’s ears,To be so carried away by what one hears that one doesn’t react properly or forgets about something important.,
441,РАЗВЯЗАТЬ кому-либо РУКИ,razv’azat’ ruki,To untie someone’s hands.,"To give someone freedom of action, choice or judgement in a matter.",To give someone a free hand; to untie someone’s hands.
442,РАЗВЯЗАТЬ ЯЗЫК,razv’azat’ yazyk,To untie one’s tongue,To begin to talk a lot; to speak after having remained silent.,To loosen one’s tongue; to find one’s tongue’s tongue.
443,РАЗРЯДИТЬ АТМОСФЕРУ,razr’adit’ atmosf’eru,To discharge the atmosphere.,To relieve tension; to create an atmosphere that will cool down a fiery argument.,To clear the air
444,РАСХЛЕБЫВАТЬ КАШУ,raskhl’obyvat’ kashu,To eat up kasha,To disentangle something; to put things right; to clear up a mess; to get oneself out of a mess.,
445,РВАТЬ И МЕТАТЬ,rvat’ i metat’,To tear and throw.,To get irritated; to be in a towering rage; to show angry impatience; to worry oneself into a state of temper.,To fret and fume
446,РВАТЬ НА СЕБЕ ВОЛОСЫ,rvat’ na s’ebe volosy,To tear one’s hair.,To be desperate; to be distressed; to grieve.,To tear one’s hair.
447,РВАТЬ кого-либо НА ЧАСТИ,rvat’ na chasti,To tear someone into pieces.,To pester someone with questions or requests; to bother someone too much; not to give someone any peace.,
448,РЕВЕТЬ БЕЛУГОЙ,revet’ belugoy,To roar like a beluga.,To wail; to scream; to howl with frenzy.,
449,РОДИТЬСЯ В СОРОЧКЕ,rodittsa v sorochk’e,To be born with a shirt on,"To be always lucky, successful, happy.",To always fall on one’s feet; to be born with a silver spoon in one’s mouth.
450,РОДИТЬСЯ ПОД СЧАСТЛИВОЙ ЗВЕЗДОЙ,rodittsa pod schaslfvoy zv’ezdoy,To be born under a lucky star.,"To be always lucky, successful, happy",To always fall on one’s feet; to be born under a lucky star
451,РУБИТЬ СПЛЕЧА,rubit’ spl’echa,To chop straight from the shoulder.,"To speak in a direct, outspoken, blunt way; without reserve or evasion; to act without previous intention or preparation, promptly, impulsively; to do something without giving it a thought.",Straight from the shoulder
452,"РУБИТЬ СУК, НА КОТОРОМ СИДИШЬ",rubit’ suk na kotorom sidish,To be hewing down a bough on which you are sitting.,To act in such a way as to do oneself harm.,To cut one’s own throat; to saw off the bough on which one is sitting
453,РУКА НЕ ДРОГНЕТ,ruka n’e drogn’et,One’s hand wouldn’t shake doing something.,One won’t hesitate to do something; one will do something without scruple.,One wouldn’t think twice about doing something; without a qualm.
454,РУКА HE ПОДНИМАЕТСЯ,ruka n’e podnimayetsa,One’s hand won’t rise.,One can’t bring himself to do something; one is hesitant about doing something.,Not to have the heart to do something.
455,РУКИ КОРОТКИ,ruki korotki,One’s hands are short.,"One doesn’t have enough authority, power or strength to do something; one is in no position to do something.",Just try! You coudn’t if you tried!
456,РУКИ HE ДОХОДЯТ,ruki n’e dokhod’at,One’s hands don’t reach.,One has no time or possibility to undertake something.,
457,РУКИ ЧЕШУТСЯ,ruki cheshutsa,One’s hands are itching.,Someone is anxious to do something.,One’s fingers/hands itch to do something.
458,РУКОЙ HE ДОСТАНЕШЬ,rukoy n’e dostan’esh,You can’t reach someone with your hand.,Someone is out of reach (usually said of someone in a high position).,
459,РЫТЬ ЯМУ кому-либо,ryt’ yamu,To dig a pit for someone,To cause someone trouble; to plunge into intrigue against someone; to do someone harm.,To make /prepare a pitfall for someone.
