,id,head_ru,transliteration,literal,meaning,equivalents,transparency
473,474,СЕМЬ ПОТОВ СОШЛО,s’em’ potov soshlo,Seven sweats have come off.,One has exerted himself to the fullest to accomplish something.,To sweat one’s guts out,0.0
474,475,СЕМЬ ПЯТНИЦ НА НЕДЕЛЕ,s’em’ p’atnits na n’ed’el’e,Someone has seven Fridays in one week.,"Someone who easily and frequently changes his mind, mood or intentions.",Someone is in twenty minds; to chop and change,0.0
475,476,СЕРДЦЕ /ДУША HE ЛЕЖИТ к кому-либо/чему-либо,sertse/dusha n’e l’ezhit,sertse/dusha n’e l’ezhit,"One’s heart/soul doesn’t lie for something or someone. One feels great pity, compassion, grief; one feels something keenly, takes something hard.",To put one’s foot in it: to get oneself into a fix/spot,0.0
476,477,СЕРДЦЕ/ДУША РАЗРЫВАЕТСЯ НА ЧАСТИ,sertse/dusha razryvayetsa,One’s heart is breaking. ,"One feels great pity, compassion, grief; one feels something keenly, takes something hard.",One’s heart is breaking.,0.0
477,478,СЕСТЬ В ЛУЖУ,-j s’est’ v luzhu,To sit down into a puddle.,To get oneself into an awkward position or compromising situation; to let oneself be duped; to do or say something stupid.,To put one’s foot in it: to get oneself into a fix/spot.,0.0
480,481,СИДЕТЬ МЕЖДУ ДВУХ СТУЛЬЕВ,sid’et’ m’ezhdu dvukh stlil’yev,To sit between two chairs,"To try to adhere to two different, irreconcilable points of view: to try to keep the favour of both sides in a dispute",To run with the hare and hunt with the hounds; to play a double game.,0.0
481,482,СИДЕТЬ НА ЧЕМОДАНАХ,sid’et’ na chemodanakh,To sit on one’s suitcasesю,Packed and waiting to go.,,0.0
482,483,СИДЕТЬ СЛОЖА РУКИ,sid’et’ slozha niki,To sit with one’s arms folded.,To be idle; to sit still doing nothing.,To sit twiddling one’s thumbs,0.0
483,484,СКЛОНЯТЬ кого-либо ВО ВСЕХ ПАДЕЖАХ,sklon’at’ vo vs’ekh pad’ezhakh,To decline someone in all cases.,To talk a lot about someone at every opportunity (usually in a derogatory manner).,,0.0
485,486,"СКОЛЬКО ЛЕТ, СКОЛЬКО ЗИМ!",skol’ko l’et skol’ko zim,"So many summers, so many winters!",How long ago! (A greeting used when two people haven’t seen each other for a long time).,Long time no see! I haven’t seen you for ages! Fancy meeting you after all this time.,0.0
486,487,СЛАБАЯ СТРУНКА,slabaya striinka,A weak string.,The most vulnerable aspect of someone’s character; a matter upon which one is easily affected or most sensitive.,A weak/soft point,0.0
488,489,С ЛЁГКОЙ РУКИ,s l’okhkoy ruki,From the light hand of someone.,At someone’s initiative or following someone’s example which set in motion a series of subsequent actions or deeds.,,0.0
489,490,СЛЕД ПРОСТЫЛ,sl’ed prostyl,Someone’s footprints have grown cold.,"Someone has run away, disappeared; there’s not a trace of someone.",To vanish into thin air.,0.0
492,493,"СЛЫШНО, КАК МУХА ПРОЛЕТИТ",slyshno kak mukha prol’etit,One could hear a fly flying past.,It’s absolutely quiet; it’s deadly still.,You could hear a pin drop,0.0
493,494,СЛЮНКИ ТЕКУТ,sl’iinki t’ekut,Saliva is flowing.,Someone is anxious to partake of some tasty food or drink.,To make someone’s mouth water,0.0
497,498,СМОТРЕТЬ В ОБА,smotret’ v oba,To look through both.,To look attentively; to be closely observant; to be on the alert; to be particularly watchful,To keep one’s eyes peeled/skinned,0.0
498,499,СМОТРЕТЬ кому-либо В РОТ,smotr’et’ v rot,To look someone in the mouth.,To listen attentively and servilely to what one says; to fawn on someone.,To hang on someone’s words,0.0
500,501,СМОТРЕТЬ КАК БАРАН НА НОВЫЕ ВОРОТА,smotret’ kak baran na novyye vorota,To look at someone or something like a ram at a new gate.,"To look at someone or something with a puzzled, perplexed or dismayed expression on one s face; to look rather stupid, not understanding what is going on; to look quite lost.",,0.0
505,506,СНИМАТЬ с кого-либо СТРУЖКУ,snimat’ struzhku,To take the shavings off someone.,"To criticize someone severely, to rate someone soundly, to scold someone.",To tear someone off a strip.,0.0
507,508,СОБАКУ СЪЕЛ на чём-либо,sobaku s’yel,One has eaten the dog at something.,One has acquired great skill or experience in something; one knows something thoroughly; one is an expert in something.,To have something at one’s fingertips; to know something inside out; to know the ropes; he’s been around,0.0
509,510,СОН В РУКУ,son v ruku,The dream has come into one’s hand.,Said of a dream that has come true.,,0.0
511,512,CO СКРИПОМ,so skripom,With a creak.,"To do something very slowly, with great difficulty or effort, reluctantly.",,0.0
512,513,С ОТКРЫТОЙ ДУШОЙ/ ОТКРЫТЫМ СЕРДЦЕМ,s otkrytoy dushoy/otkrytym s’ertsem,With an open heart/soul,"To treat, someone or do something sincerely, trustfully, frankly, openly, without prejudice.",,0.0
513,514,СПАТЬ БЕЗ ЗАДНИХ НОГ,spat’ b’ez zadnikh nog ,To sleep without one’s hind legs.,To sleep soundly.,To sleep like a log/top,0.0
514,515,С ПЛЕЧ ДОЛОЙ,s pi’ech doloy,Off one’s shoulders. ,"One needn’t bother about something any longer; one no longer has an irksome burden to bear; one has got rid of duties, cares, responsibilities.","That’s done, thank goodness.",0.0
515,516,СПУТАТЬ ВСЕ КАРТЫ,sptitat’ vs’e karty,To mix up all the cards.,To spoil or ruin someone’s plans; to upset someone’s calculations.,To upset someone’s apple-cart.,0.0
516,517,СРАЖАТЬСЯ С ВЕТРЯНЫМИ МЕЛЬНИЦАМИ,srazhattsa s vetr’anymi m’el’nitsami,To fight against the windmills.,To waste energy in combating imaginary evils or difficulties; to attack an imaginary foe.,To tilt at windmills.,0.0
517,518,СТАВИТЬ ВО ГЛАВУ УГЛА,stavit’ vo glavu ugla,To put something in the vertex of an angle.,To assign primary importance to something; to consider something to be indispensible.,,0.0
518,519,СТАВИТЬ кого-либо НА НОГИ,stavit’ na nogi,To put someone on his feet.,To cure someone of an illness.,,0.0
519,520,СТАВИТЬ НА ОДНУ ДОСКУ,stavit’ na odnu dosku,To put someone on the same board with someone else.,To put someone on the same level with someone else; to consider one person comparable with another.,,0.0
520,521,СТАВИТЬ что-либо С НОГ НА ГОЛОВУ,stavit’ s nog na golovu,To put something from its feet into its head.,To give a distorted picture of something; to put things in the wrong order; to take the effect for the cause.,To put the cart before the horse,0.0
521,522,СТАВИТЬ ТОЧКИ НАД И,stavit’ tochki nad i,To put dots above the i’s,To make something clear and definite; to give most careful attention to detail.,To put the finishing touches to; to dot one’s i’s and cross one’s t’s.,0.0
523,524,СТАРО КАК МИР,staro kak mir,As old as the world.,"Very old, stale, uninteresting because heard before.",As old as the hills,0.0
524,525,СТИРАТЬ ГРАНИ,stirat’ grani,To grind off the edges.,To remove differences or distinctions.,,0.0
525,526,СТОИТ КАК ВКОПАННЫЙ,One stands as if dug in.,One stands as if dug in.,"One stands quite still, motionless.",To stand as if rooted to the ground.,0.0
526,527,СТОЯТЬ за кого-либо/что-либо ГОРОЙ,stoyat’ goroy,To stand for someone or something like a mountain.,"To defend someone or something with all one’s might, by every possible means; to be solidly behind someone or something; to stand firm or stick up for someone or something.",To stand for someone through thick and thing; to back someone up to the hilt.,0.0
527,528,СТОЯТЬ НАД ДУШОЙ,stoyat’ nad dushoy,To stand over someone’s soul.,To annoy someone by constantly watching him; to importune someone.,To stand over someone; to breath down someone’s neck; to worry the life out of someone.,0.0
528,529,СТОЯТЬ ПОПЕРЁК ГОРЛА,stoyat’ pop’er’ok gorla,To stand across someone’s throat.,"To become unbearable, unendurable; to be a source of annoyance, irritation, especially a persistent one.",A thorn in one’s flesh/side.,0.0
529,530,СТОЯТЬ ПОПЕРЁК ДОРОГИ,stoyat’ pop’er’ok dorogi,To stand across the road.,"To be an obstacle, hindrance or impediment to someone; to hamper someone’s chances of success or progress.",To be stand in someone’s way,0.0
530,531,СТРЕЛЯНЫЙ ВОРОБЕЙ,str’el’any vorob’ey,A sparrow that has been shot at.,A person experienced in the matter at hand; someone not easily deceived.,An old hand; a knowing old bird,0.0
531,532,СТРЕЛЯТЬ ИЗ ПУШКИ ПО ВОРОБЬЯМ,str’el’at’ is pushki po vorob’yam,To fire a cannon at sparrows.,To use an instrument or take measures far more powerful than is necessary; to make a great effort for a small gain.,To use a sledge-hammer to crack a nut; to break a fly/butterfly up on the wheel.,0.0
532,533,СТРИЧЬ ВСЕХ ПОД ОДНУ ГРЕБЁНКУ,strich vs’ekh pod odrni gr’eb’onku,To cut everyone’s hair with one comb.,To treat everyone alike; to reduce everyone to the same level; to judge all people the same way.,,0.0
535,536,СЧИТАТЬ ВОРОН,shchitat’ voron,To count the crows.,"To gape at something; to be distracted, inattentive; to be bored. ",,0.0
537,538,ТАНЦЕВАТЬ ОТ ПЕЧКИ,tantsevat’ ot p’echki,To dance from the stove.,"To begin with something that is elementary, familiar, or simpler, repeating all the movements or operations from the very beginning; to begin from the beginning.",,0.0
539,540,ТАЩИТЬ ЗА УШИ,tashchit’ za ushy,To pull someone by the ears.,"To do everything to help someone (usually one who is remiss and of less than average ability) in his studies, in obtaining promotion, etc.",,0.0
540,541,ТЁПЛОЕ МЕСТЕЧКО,t’oploye m’est’echko,A warm little place.,A highly paid appointment or job; a profitable position.,A cushy/snug job,0.0
543,544,"ТИШЕ ВОДЫ, НИЖЕ TPABЫ",tishe vody nizhe travy,"Quieter than water, lower than grass.","One is meek, timid, mild, quiet.",Quiet as a mouse; meek as a lamb.,0.0
544,545,ТОЛОЧЬ ВОДУ В СТУПЕ,toloch vodu v sttip’e,To pound the water in the mortar.,"To do useless work, to engage in fruitless talk that can have no results, to waste time.",To beat the air; to mill the wind.,0.0
545,546,ТРЕЩАТЬ ПО ШВАМ,tr’eshchat’ po shvam,To burst at the seams.,"To be on the verge of destruction, collapse, ruin.",To go/fall to pieces; to fall/burst apart at the seams.,0.0
546,547,ТЯЖЕЛАЯ АРТИЛЛЕРИЯ,t’azholaya artil’eriya,Heavy artillery.,Something that can be used in an emergency as an effective means of achieving an end.,,0.0
547,548,ТЯЖЁЛ НА ПОДЪЁМ,t’azhol na pod’yorn,t’azhol na pod’yom,"Heavy on the rise. Slow or unwilling to do something; sluggish, hard to move or rouse to action.",,0.0
548,549,ТЯНУТЬ ВРЕМЯ,t’amit’ vr’em’a,To drag the time.,To be slow in acting; to procrastinate; to wait for a favourable opportunity.,To bide one’s time,0.0
549,550,ТЯНУТЬ ЗА ЯЗЫК,t’arnit’ za yazyk,To pull someone by the tongue.,To make someone say something; to pump someone.,,0.0
550,551,УБИТЬ ДВУХ ЗАЙЦЕВ,ubit’ dvukh zaitsev,To kill two hares.,To achieve two objects simultaneously; to attain two results with one means.,To kill two birds with one stone.,0.0
551,552,УДАРИТЬ КАК ОБУХОМ ПО ГОЛОВЕ,udarit’ kak obukhom po golov’e,To strike as if with an axe-butt on the head.,"To amaze, to perplex, to stun someone; to take someone aback.",To knock someone down with a feather; to knock someone off his pins.,0.0
554,555,УЙТИ В КУСТЫ,uyti v kusty,To go into the scrubs.,To withdraw from one’s promise or an undertaking; to disclaim further responsibility for something.,To make oneself scarce; to back out; to show the white feather.,0.0
556,557,УЙТИ С ГОЛОВОЙ во что-либо,uyti z golovoy,To go headlong into something.,"To be fully absorbed, deeply engrossed or totally involved in something.",To throw oneself/plunge into something; to get up to one’s neck in something.,0.0
559,560,УНОСИТЬ НОГИ,unosit’ nogi,To carry away one’s legs.,To flee; to run as fast as one’s legs will carry one: to have a narrow escape.,To escape by the skin of one’s teeth.,0.0
562,563,УТЕРЕТЬ кому-либо НОС,ut’er’et’ nos,To wipe someone’s nose.,To win an advantage over someone; to humiliate or cause disgruntlement; to make a clever retort.,To score off someone; to get the better of someone; to steal a march on someone.,0.0
563,564,УХО РЕЖЕТ,ukho r’ezhet,Something cuts one’s ear.,It’s grating upon one’s ears; it’s painful to listen to; it offends the ear.,,0.0
564,565,УШИ ВЯНУТ,ushy v’anut,One’s ears fade.,"It is so ridiculous, absurd or silly that it’s disgusting to listen to.",It makes one sick to hear about it,0.0
565,566,ХВАТАТЬ ЗВЁЗДЫ С НЕБА,khvatat’ zv’ozdy s n’eba,To snatch the stars from the sky.,To be very good at something; to be able to do something remarkable.,He is as good as they come,0.0
566,567,ХВАТАТЬСЯ ЗА ГОЛОВУ,khvatattsa za golovu,To clutch one’s head.,To be struck with horror; to abandon oneself to despair.,,0.0
568,569,ХОДИТЬ ВОКРУГ ДА ОКОЛО,khodit’ vokriig da okolo,To walk round and about.,"To avoid saying something openly, frankly, directly; to avoid the essential facts; not to come to the point; to approach a matter in a roundabout way.",To beat about the bush,0.0
569,570,ХОДИТЬ НА ГОЛОВЕ,khodit’ na golov’e,To walk on one’s head.,To get into mischief; to play pranks; to be naughty (usually said of children).,,0.0
572,573,ХОТЬ ТРАВА НЕ РАСТИ,khot’ trava n’e rasti,Who cares whether or not the grass grows.,One couldn’t care less; it’s all the same to someone.,Not to care a straw,0.0
573,574,ХОТЬ ШАРОМ ПОКАТИ,khot’ sharom pokati,You could even roll a ball through it.,There’s nothing there; it’s completely empty.,Bare as a bone; as bare as the palm of one’s hand.,0.0
574,575,ХРОМАТЬ НА ОБЕ НОГИ,khromat’ na ob’e nogi,To limp on both legs;,"To have serious gaps in one’s knowledge, training or abilities.",,0.0
575,576,ХУДОЙ КАК СПИЧКА,khudoy kak spichka,Thin as a matchstick.,Very thin.,,0.0
576,577,ЦЕНЫ НЕТ кому-либо/чему-либо,tseny n’et,There’s no price on someone or something,"Someone or something is priceless, invaluable.",,0.0
578,579,ЧЕРЕЗ ЧАС ПО ЧАЙНОЙ ЛОЖКЕ,her’ez chas ро chaynoy lozhk’e,One teaspoonful every other hour.,To be few and at long intervals; very slowly.,In drops; in/by driblets; few and far between,0.0
579,580,ЧЁРНАЯ КОШКА ПРОБЕЖАЛА,chornaya koshka prob’ezhala,A black cat has run between them.,There’s a coolness between them; they have become estranged.,They have fallen out,0.0
584,585,ЧУДЕСА В РЕШЕТЕ,chudesa v r’eshet’e,Miracles in a sieve.,"It’s amazing, incredible, unbelievable extraordinary; it’s a fantastic tale.",,0.0
585,586,ЧУЖИМИ РУКАМИ ЖАР ЗАГРЕБАТЬ,chuzhimi rukami zhar zagr’ebat’,To bank up the fire with someone else’s hands.,To benefit by the results of someone else’s work; to use the results of someone else’s work to achieve one’s selfish ends.,To make a cat’s-paw of someone; to pull someone’s chestnuts out of the fire.,0.0
586,587,ШАПКАМИ ЗАКИДАЕМ,shapkami zakidayem,"We’ll pelt you (him, etc.) with our caps. ",We expect to win without difficulty; it’s as good as certain (to boast of an easy victory).,It’s a walk-over; it’s in the bag,0.0
587,588,ШАПОЧНОЕ ЗНАКОМСТВО,shapochnoye znakomstvo,A cap acquaintance.,A slight acquaintance.,A nodding/bowing acquaintance,0.0
588,589,ШИТО БЕЛЫМИ НИТКАМИ,shito b’elymi nitkami,It is sewn with white thread.,It is a flimsy story or excuse easily seen through; it is all too obvious; it is quite transparent.,Something does not hold water; made up out of whole cloth.,0.0
590,591,ЯБЛОКУ НЕГДЕ УПАСТЬ,yabloku n’egd’e upast’,No room for an apple to fall.,"Used to indicate that there is a large number of people in one place, that the place is overcrowded, that there is hardly room to move or turn around.",There’s no room to swing a cat,0.0
592,593,ЯЗЫК ХОРОШО ПОДВЕШЕН,yazyk horosho podv’eshen,One’s tongue is hung well.,Someone is a smooth talker; someone has a glib tongue.,To have the gift of the gab.,0.0
